Volcano ID,volcano_name,eruption_number,eruption_category,Start Date,End Date,vei,latitude,longitude
263300,Semeru,22220,Confirmed Eruption,2013-06-04,2013-11-29,1.0,-8.108,112.922
261170,Kerinci,22216,Confirmed Eruption,2013-06-02,2013-06-02,2.0,-1.697,101.264
345070,Turrialba,20831,Confirmed Eruption,2013-05-21,2013-06-04,2.0,10.025,-83.767
312030,Pavlof,20807,Confirmed Eruption,2013-05-13,2013-06-26,3.0,55.417,-161.894
344100,Masaya,22291,Uncertain Eruption,2013-05-11,2013-05-26,0.0,11.985,-86.165
273030,Mayon,20798,Confirmed Eruption,2013-05-07,2013-05-07,2.0,13.257,123.685
355100,Lascar,20789,Confirmed Eruption,2013-04-02,2013-11-20,1.0,-23.37,-67.73
342110,Pacaya,20802,Confirmed Eruption,2013-03-05,2014-04-10,2.0,14.382,-90.601
263090,Tangkuban Parahu,20822,Confirmed Eruption,2013-02-21,2013-03-06,2.0,-6.77,107.6
260010,Barren Island,20754,Confirmed Eruption,2013-02-16,2013-02-16,1.0,12.278,93.858
290070,Etorofu-Yakeyama [Grozny Group],20762,Confirmed Eruption,2013-02-16,2013-04-04,2.0,45.012,147.871
284305,Mariana Back-Arc Segment at 15.5°N,21102,Confirmed Eruption,2013-02-13,2015-12-01,0.0,15.406,144.506
251030,Karkar,20779,Confirmed Eruption,2013-01-29,2013-02-26,3.0,-4.649,145.964
352090,Sangay,22235,Confirmed Eruption,2013-01-25,2013-05-24,2.0,-2.005,-78.341
268040,Gamkonora,20915,Uncertain Eruption,2013-01-23,2013-05-27,1.0,1.38,127.53
252140,Rabaul,20811,Confirmed Eruption,2013-01-19,2014-03-11,2.0,-4.271,152.203
341040,Colima,20759,Confirmed Eruption,2013-01-06,2017-03-07,2.0,19.514,-103.62
344020,San Cristobal,20816,Confirmed Eruption,2012-12-26,2012-12-28,2.0,12.702,-87.004
357090,Copahue,20760,Confirmed Eruption,2012-12-22,2013-12-10,2.0,-37.856,-71.183
252010,Langila,20788,Confirmed Eruption,2012-12-01,2012-12-05,1.0,-5.525,148.42
300240,Tolbachik,20825,Confirmed Eruption,2012-11-27,2013-09-05,4.0,55.832,160.326
241080,Tongariro,20827,Confirmed Eruption,2012-11-21,2012-11-21,2.0,-39.157,175.632
357120,Villarrica,20837,Uncertain Eruption,2012-11-14,2012-11-14,1.0,-39.42,-71.93
290150,Chirpoi,20756,Confirmed Eruption,2012-11-11,2016-10-18,0.0,46.532,150.871
252120,Ulawun,20834,Confirmed Eruption,2012-11-06,2012-12-11,1.0,-5.05,151.33
284170,Pagan,20804,Confirmed Eruption,2012-10-30,2012-12-11,2.0,18.13,145.8
345020,Rincon de la Vieja,22161,Confirmed Eruption,2012-10-17,2012-10-17,1.0,10.83,-85.324
264150,Paluweh,20806,Confirmed Eruption,2012-10-08,2013-10-31,2.0,-8.32,121.708
290390,Alaid,20750,Confirmed Eruption,2012-10-05,2012-12-12,2.0,50.861,155.565
